game,season,home,away
0021500882,2015,DAL,MIN
0021500883,2015,NYK,MIA
0021500884,2015,CLE,IND
0021500885,2015,WAS,PHI
0021500886,2015,BOS,UTA
0021500887,2015,MIL,HOU
0021500888,2015,DEN,MEM
0021500889,2015,SAC,OKC
0021500890,2015,LAC,BKN
0021500891,2015,CHA,PHX
0021500892,2015,MIA,CHI
0021500893,2015,NYK,POR
0021500894,2015,DAL,ORL
0021500895,2015,GSW,ATL
0021500896,2015,LAL,BKN
0021500897,2015,ORL,CHI
0021500898,2015,PHI,CHA
0021500899,2015,BOS,POR
0021500900,2015,TOR,UTA
0021500901,2015,HOU,NOP
0021500902,2015,MEM,SAC
0021500903,2015,MIL,IND
0021500904,2015,MIN,WAS
0021500905,2015,SAS,DET
0021500906,2015,DEN,LAL
0021500907,2015,LAC,OKC
0021500908,2015,MIA,PHX
0021500909,2015,NOP,SAS
0021500910,2015,DAL,SAC
0021500911,2015,GSW,OKC
0021500912,2015,CHA,IND
0021500913,2015,ORL,PHX
0021500914,2015,PHI,MIA
0021500915,2015,BOS,NYK
0021500916,2015,TOR,POR
0021500917,2015,CLE,WAS
0021500918,2015,MEM,UTA
0021500919,2015,MIL,MIN
0021500920,2015,DEN,BKN
0021500921,2015,LAL,ATL
0021500922,2015,CLE,BOS
0021500923,2015,NYK,DET
0021500924,2015,WAS,IND
0021500925,2015,NOP,UTA
0021500926,2015,MIN,BKN
0021500927,2015,CHI,HOU
0021500928,2015,SAS,SAC
0021500929,2015,LAC,ATL
0021500930,2015,MIL,OKC
0021500931,2015,LAL,GSW
0021500932,2015,MEM,PHX
0021500933,2015,DEN,DAL
0021500934,2015,DET,POR
0021500935,2015,MIA,PHI
0021500936,2015,TOR,HOU
0021500937,2015,CHA,MIN
0021500938,2015,CLE,MEM
0021500939,2015,IND,SAS
0021500940,2015,CHI,MIL
0021500941,2015,NOP,SAC
0021500942,2015,DAL,LAC
0021500943,2015,GSW,ORL
0021500944,2015,TOR,BKN
0021500945,2015,MIN,SAS
0021500946,2015,DEN,NYK
0021500947,2015,UTA,ATL
0021500948,2015,POR,WAS
0021500949,2015,LAL,ORL
0021500950,2015,CHA,NOP
0021500951,2015,PHI,HOU
0021500953,2015,BOS,MEM
0021500952,2015,MIL,MIA
0021500954,2015,DAL,DET
0021500956,2015,PHX,NYK
0021500955,2015,OKC,LAC
0021500957,2015,SAC,CLE
0021500958,2015,GSW,UTA
0021500959,2015,TOR,ATL
0021500960,2015,SAS,CHI
0021500961,2015,DEN,PHX
0021500962,2015,LAL,CLE
0021500963,2015,CHA,DET
0021500964,2015,PHI,BKN
0021500965,2015,BOS,HOU
0021500966,2015,CHI,MIA
0021500967,2015,MEM,NOP
0021500968,2015,OKC,MIN
0021500969,2015,UTA,WAS
0021500970,2015,SAC,ORL
0021500971,2015,GSW,POR
0021500972,2015,LAC,NYK
0021500973,2015,DAL,IND
0021500975,2015,CHA,HOU
0021500976,2015,PHI,DET
0021500977,2015,TOR,MIA
0021500974,2015,ATL,MEM
0021500978,2015,MIL,NOP
0021500979,2015,SAS,OKC
0021500980,2015,DEN,WAS
0021500981,2015,GSW,PHX
0021500982,2015,POR,ORL
0021500983,2015,LAC,CLE
0021500984,2015,ATL,IND
0021500986,2015,SAC,UTA
0021500985,2015,BKN,MIL
0021500987,2015,LAL,NYK
0021500988,2015,CHA,DAL
0021500990,2015,MIA,DEN
0021500991,2015,TOR,CHI
0021500989,2015,WAS,DET
0021500992,2015,HOU,MEM
0021500993,2015,OKC,POR
0021500995,2015,PHX,MIN
0021500994,2015,UTA,CLE
0021500996,2015,GSW,NOP
0021500997,2015,IND,BOS
0021500998,2015,ORL,DEN
0021500999,2015,BKN,PHI
0021501000,2015,MIL,TOR
0021501001,2015,SAS,LAC
0021501002,2015,LAL,SAC
0021501003,2015,BOS,OKC
0021501004,2015,CHA,ORL
0021501005,2015,CLE,DAL
0021501006,2015,WAS,CHI
0021501007,2015,DET,ATL
0021501008,2015,MEM,MIN
0021501009,2015,HOU,LAC
0021501010,2015,SAC,NOP
0021501011,2015,GSW,NYK
0021501012,2015,IND,TOR
0021501013,2015,PHI,WAS
0021501014,2015,MIA,CHA
0021501015,2015,ATL,DEN
0021501016,2015,CHI,BKN
0021501017,2015,MIL,MEM
0021501018,2015,SAS,POR
0021501019,2015,UTA,PHX
0021501020,2015,ORL,CLE
0021501021,2015,PHI,OKC
0021501022,2015,DET,SAC
0021501023,2015,TOR,BOS
0021501024,2015,HOU,MIN
0021501025,2015,NOP,POR
0021501026,2015,DAL,GSW
0021501027,2015,LAL,PHX
0021501028,2015,CHA,DEN
0021501030,2015,DET,BKN
0021501031,2015,IND,OKC
0021501032,2015,WAS,NYK
0021501029,2015,ATL,HOU
0021501033,2015,MIA,CLE
0021501034,2015,CHI,UTA
0021501035,2015,MEM,LAC
0021501036,2015,SAS,GSW
0021501037,2015,DAL,POR
0021501038,2015,TOR,ORL
0021501039,2015,PHI,BOS
0021501040,2015,NOP,LAC
0021501041,2015,MIL,UTA
0021501042,2015,NYK,SAC
0021501043,2015,CHA,SAS
0021501044,2015,CLE,DEN
0021501045,2015,IND,PHI
0021501046,2015,BOS,ORL
0021501047,2015,DET,MIL
0021501048,2015,ATL,WAS
0021501049,2015,CHI,SAC
0021501050,2015,MIN,GSW
0021501051,2015,PHX,MEM
0021501052,2015,BKN,CHA
0021501053,2015,NOP,MIA
0021501054,2015,OKC,HOU
0021501055,2015,LAL,MEM
0021501056,2015,WAS,ATL
0021501059,2015,CLE,MIL
0021501057,2015,BOS,TOR
0021501058,2015,DET,ORL
0021501060,2015,CHI,NYK
0021501061,2015,HOU,UTA
0021501062,2015,MIN,SAC
0021501063,2015,SAS,MIA
0021501064,2015,DEN,PHI
0021501065,2015,PHX,LAL
0021501067,2015,POR,DAL
0021501066,2015,GSW,LAC
0021501068,2015,IND,NOP
0021501069,2015,BKN,CLE
0021501070,2015,NYK,CHI
0021501071,2015,OKC,UTA
0021501072,2015,LAC,POR
0021501073,2015,WAS,MIN
0021501074,2015,DET,CHA
0021501075,2015,MIA,ORL
0021501076,2015,ATL,MIL
0021501077,2015,HOU,TOR
0021501078,2015,SAS,MEM
0021501079,2015,SAC,PHX
0021501080,2015,GSW,DAL
0021501081,2015,LAL,DEN
0021501082,2015,BKN,IND
0021501083,2015,ORL,CHI
0021501084,2015,NOP,TOR
0021501085,2015,DET,ATL
0021501086,2015,NYK,CLE
0021501087,2015,MIN,UTA
0021501088,2015,OKC,SAS
0021501089,2015,MIL,CHA
0021501090,2015,PHX,BOS
0021501091,2015,POR,PHI
0021501092,2015,LAC,DEN
0021501093,2015,IND,HOU
0021501095,2015,SAC,DAL
0021501094,2015,GSW,PHI
0021501096,2015,LAL,WAS
0021501097,2015,MIA,BKN
0021501098,2015,TOR,OKC
0021501099,2015,CHI,ATL
0021501100,2015,MEM,SAS
0021501101,2015,MIN,PHX
0021501102,2015,NOP,NYK
0021501103,2015,DEN,DAL
0021501104,2015,UTA,LAL
0021501105,2015,POR,SAC
0021501106,2015,LAC,BOS
0021501107,2015,IND,CHI
0021501108,2015,ORL,BKN
0021501109,2015,PHI,CHA
0021501110,2015,DET,OKC
0021501111,2015,CLE,HOU
0021501112,2015,GSW,WAS
0021501113,2015,TOR,ATL
0021501114,2015,MEM,DEN
0021501115,2015,MIL,PHX
0021501116,2015,MIN,LAC
0021501117,2015,DAL,NYK
0021501118,2015,SAS,NOP
0021501119,2015,UTA,GSW
0021501120,2015,SAC,WAS
0021501121,2015,LAL,MIA
0021501122,2015,CLE,BKN
0021501123,2015,IND,ORL
0021501124,2015,HOU,CHI
0021501125,2015,NOP,DEN
0021501126,2015,OKC,LAC
0021501127,2015,POR,BOS
0021501128,2015,CHA,PHI
0021501129,2015,DET,DAL
0021501130,2015,NYK,BKN
0021501131,2015,ATL,CLE
0021501132,2015,MEM,TOR
0021501133,2015,MIL,ORL
0021501134,2015,UTA,MIN
0021501135,2015,SAC,MIA
0021501136,2015,GSW,BOS
0021501137,2015,PHX,WAS
0021501138,2015,PHI,IND
0021501139,2015,CHI,DET
0021501140,2015,SAS,TOR
0021501141,2015,DEN,SAC
0021501142,2015,POR,MIA
0021501143,2015,BKN,NOP
0021501144,2015,CLE,CHA
0021501145,2015,HOU,OKC
0021501146,2015,MIN,DAL
0021501147,2015,LAC,WAS
0021501148,2015,ORL,MEM
0021501149,2015,PHX,UTA
0021501150,2015,MIL,CHI
0021501151,2015,NYK,IND
0021501152,2015,GSW,POR
0021501153,2015,LAL,BOS
0021501154,2015,PHI,NOP
0021501156,2015,TOR,CHA
0021501155,2015,MIA,DET
0021501157,2015,ATL,PHX
0021501158,2015,MEM,CHI
0021501159,2015,MIL,CLE
0021501160,2015,DEN,OKC
0021501161,2015,UTA,SAS
0021501162,2015,SAC,POR
0021501163,2015,GSW,MIN
0021501164,2015,LAC,LAL
0021501165,2015,IND,CLE
0021501166,2015,ORL,DET
0021501167,2015,WAS,BKN
0021501168,2015,BOS,NOP
0021501169,2015,NYK,CHA
0021501170,2015,DAL,HOU
0021501171,2015,POR,OKC
0021501172,2015,LAL,LAC
0021501173,2015,ATL,TOR
0021501174,2015,MIA,CHI
0021501175,2015,HOU,PHX
0021501176,2015,SAC,MIN
0021501177,2015,GSW,SAS
0021501178,2015,CHA,BKN
0021501179,2015,ORL,MIA
0021501180,2015,PHI,NYK
0021501181,2015,BOS,MIL
0021501182,2015,DET,WAS
0021501183,2015,TOR,IND
0021501184,2015,NOP,LAL
0021501185,2015,DAL,MEM
0021501186,2015,DEN,SAS
0021501187,2015,UTA,LAC
0021501189,2015,NOP,PHX
0021501188,2015,ATL,BOS
0021501190,2015,MEM,GSW
0021501191,2015,CHI,CLE
0021501192,2015,POR,MIN
0021501193,2015,SAC,OKC
0021501194,2015,WAS,CHA
0021501195,2015,HOU,LAL
0021501196,2015,LAC,DAL
0021501197,2015,PHI,MIL
0021501198,2015,DEN,UTA
0021501199,2015,IND,BKN
0021501200,2015,MIA,ORL
0021501201,2015,SAS,GSW
0021501202,2015,NYK,TOR
0021501203,2015,CLE,ATL
0021501204,2015,ORL,MIL
0021501205,2015,BOS,CHA
0021501206,2015,BKN,WAS
0021501207,2015,MIN,HOU
0021501208,2015,NOP,CHI
0021501209,2015,OKC,LAL
0021501210,2015,UTA,DAL
0021501211,2015,PHX,SAC
0021501212,2015,IND,NYK
0021501213,2015,DET,MIA
0021501214,2015,TOR,PHI
0021501215,2015,SAS,OKC
0021501216,2015,LAC,MEM
0021501217,2015,BOS,MIA
0021501218,2015,BKN,TOR
0021501219,2015,CHA,ORL
0021501220,2015,CLE,DET
0021501221,2015,WAS,ATL
0021501222,2015,CHI,PHI
0021501223,2015,DAL,SAS
0021501224,2015,HOU,SAC
0021501225,2015,MIL,IND
0021501226,2015,MIN,NOP
0021501227,2015,GSW,MEM
0021501228,2015,LAL,UTA
0021501229,2015,PHX,LAC
0021501230,2015,POR,DEN
