game,season,home,away
0021500203,2015,CLE,ORL
0021500204,2015,MIA,NYK
0021500205,2015,MIL,DET
0021500206,2015,MIN,PHI
0021500207,2015,SAS,PHX
0021500208,2015,UTA,OKC
0021500209,2015,WAS,IND
0021500210,2015,ATL,BOS
0021500211,2015,MEM,DAL
0021500212,2015,DEN,LAC
0021500213,2015,POR,CHI
0021500214,2015,GSW,LAL
0021500215,2015,CHA,WAS
0021500216,2015,ORL,NYK
0021500217,2015,BOS,PHI
0021500218,2015,DET,MIA
0021500219,2015,TOR,CLE
0021500220,2015,HOU,MEM
0021500221,2015,MIL,SAC
0021500222,2015,MIN,ATL
0021500223,2015,OKC,BKN
0021500224,2015,SAS,DAL
0021500225,2015,PHX,NOP
0021500226,2015,LAC,UTA
0021500227,2015,CHA,CLE
0021500228,2015,ORL,MIL
0021500229,2015,BOS,WAS
0021500230,2015,NYK,MIA
0021500231,2015,IND,CHI
0021500232,2015,HOU,PHI
0021500233,2015,MEM,ATL
0021500234,2015,OKC,DET
0021500235,2015,DEN,SAS
0021500236,2015,PHX,GSW
0021500237,2015,SAC,MIN
0021500238,2015,LAC,NOP
0021500239,2015,WAS,TOR
0021500240,2015,CLE,BKN
0021500241,2015,DAL,DEN
0021500242,2015,SAS,ATL
0021500243,2015,UTA,NOP
0021500244,2015,POR,LAL
0021500245,2015,GSW,SAC
0021500246,2015,CHA,MIL
0021500247,2015,LAC,MIN
0021500248,2015,BKN,DET
0021500249,2015,ORL,BOS
0021500250,2015,TOR,PHX
0021500251,2015,MEM,PHI
0021500252,2015,NYK,HOU
0021500253,2015,LAL,IND
0021500254,2015,DET,HOU
0021500255,2015,MIA,BOS
0021500256,2015,ATL,OKC
0021500257,2015,CHI,SAS
0021500258,2015,MIL,DEN
0021500259,2015,UTA,GSW
0021500260,2015,SAC,DAL
0021500261,2015,LAC,POR
0021500262,2015,CLE,WAS
0021500263,2015,PHI,LAL
0021500264,2015,BKN,PHX
0021500265,2015,MIN,ORL
0021500266,2015,NOP,MEM
0021500267,2015,POR,DAL
0021500268,2015,CHA,GSW
0021500269,2015,WAS,LAL
0021500270,2015,DET,PHX
0021500271,2015,NYK,PHI
0021500272,2015,ATL,TOR
0021500273,2015,CHI,DEN
0021500274,2015,HOU,NOP
0021500275,2015,SAS,MIL
0021500276,2015,LAC,IND
0021500277,2015,MIA,OKC
0021500278,2015,TOR,DEN
0021500279,2015,UTA,ORL
0021500280,2015,MEM,SAS
0021500281,2015,POR,IND
0021500282,2015,SAC,BOS
0021500283,2015,NYK,BKN
0021500284,2015,WAS,PHX
0021500285,2015,DET,MIL
0021500286,2015,ATL,LAL
0021500287,2015,DAL,HOU
0021500288,2015,NOP,CLE
0021500289,2015,PHI,DEN
0021500290,2015,TOR,GSW
0021500291,2015,MIA,CLE
0021500292,2015,CHI,CHA
0021500293,2015,HOU,SAC
0021500294,2015,MIN,POR
0021500295,2015,MIL,NYK
0021500296,2015,SAS,BOS
0021500297,2015,UTA,IND
0021500298,2015,LAC,ORL
0021500299,2015,MEM,PHX
0021500300,2015,BKN,GSW
0021500301,2015,DET,LAL
0021500302,2015,WAS,DAL
0021500303,2015,OKC,SAC
0021500304,2015,CHA,DET
0021500305,2015,PHI,SAS
0021500306,2015,MIA,WAS
0021500307,2015,NYK,DAL
0021500308,2015,TOR,LAL
0021500309,2015,CHI,PHX
0021500310,2015,MIL,POR
0021500311,2015,MIN,LAC
0021500312,2015,NOP,BOS
0021500313,2015,CLE,POR
0021500314,2015,IND,GSW
0021500315,2015,BKN,HOU
0021500316,2015,MEM,OKC
0021500317,2015,DEN,ORL
0021500318,2015,SAC,UTA
0021500319,2015,BOS,CHI
0021500320,2015,CHA,MIA
0021500321,2015,WAS,HOU
0021500322,2015,DET,MEM
0021500323,2015,TOR,SAS
0021500324,2015,MIL,LAC
0021500325,2015,MIN,LAL
0021500326,2015,PHX,ORL
0021500327,2015,UTA,NYK
0021500328,2015,DAL,ATL
0021500329,2015,BKN,PHI
0021500330,2015,CHI,LAC
0021500331,2015,OKC,ATL
0021500332,2015,SAC,NYK
0021500333,2015,IND,MIA
0021500334,2015,ORL,CLE
0021500335,2015,PHI,DET
0021500336,2015,BOS,GSW
0021500337,2015,TOR,MIL
0021500338,2015,MEM,CHA
0021500339,2015,NOP,WAS
0021500340,2015,DEN,MIN
0021500341,2015,UTA,OKC
0021500342,2015,SAS,LAL
0021500343,2015,PHX,POR
0021500344,2015,BKN,LAC
0021500345,2015,CHA,BOS
0021500346,2015,DET,IND
0021500347,2015,ATL,SAS
0021500348,2015,CHI,NOP
0021500349,2015,HOU,LAL
0021500350,2015,DAL,WAS
0021500351,2015,MIL,GSW
0021500352,2015,POR,NYK
0021500353,2015,PHX,MIN
0021500354,2015,MIA,MEM
0021500355,2015,TOR,PHI
0021500356,2015,OKC,UTA
0021500357,2015,IND,TOR
0021500358,2015,BKN,ORL
0021500359,2015,DET,LAC
0021500360,2015,ATL,MIA
0021500361,2015,CHI,PHI
0021500362,2015,MEM,WAS
0021500363,2015,DAL,PHX
0021500364,2015,SAS,UTA
0021500365,2015,DEN,HOU
0021500366,2015,POR,NOP
0021500367,2015,BOS,CLE
0021500368,2015,MIN,DEN
0021500369,2015,SAC,HOU
0021500370,2015,LAL,MIL
0021500371,2015,IND,DAL
0021500372,2015,ORL,CHA
